Genus	Specific Epithet	Name	Host family	Hosts	Type Host Species Name	Mycorrhizae	Tree	Deciduous_Evergreen	Photosynthesis		
Baobabopsis	donbarrettii	Baobabopsis donbarrettii	Poaceae	Perotis rara	Perotis rara		No	NA	C4		
Baobabopsis	enneapogonis	Baobabopsis enneapogonis	Poaceae	Enneapogon cylindricus	Enneapogon cylindricus		No	NA	C4		
Basidiophora	delawarensis	Basidiophora delawarensis	Asteraceae	Solidago sphacelata	Solidago sphacelata		No	NA	C3		
Basidiophora	entospora	Basidiophora entospora	Asteraceae	Erigeron canadensis	Erigeron canadensis		No	NA	C3		
Basidiophora	montana	Basidiophora montana	Asteraceae	Mikania micrantha	Mikania micrantha		No	NA	C3		
Basidiophora	simplex	Basidiophora simplex	Asteraceae	Symphyotrichum novae-angliae	Symphyotrichum novae-angliae		No	NA	C3		
Benua	kellermani	Benua kellermani	Asteraceae	Iva xanthiifolia	Iva xanthiifolia		No	NA	C3		
Bremia	centaureae	Bremia centaureae	Asteraceae		Centaurea montana		No	NA	C3		
Bremia	cirsii	Bremia cirsii	Asteraceae		Cirsium sp		No	NA	C3		
Bremia	elliptica	Bremia elliptica	Asteraceae		Lactuca indica		No	NA	C3		
Bremia	itoana	Bremia itoana	Asteraceae		Crepidiastrum sonchifolium		No	NA	C3		
Bremia	lactucae	Bremia lactucae	Asteraceae		Lactuca sativa		No	NA	C3		
Bremia	lagoseridis	Bremia lagoseridis	Asteraceae		Lagoseris sancta		No	NA	C3		
Bremia	lapsanae	Bremia lapsanae	Asteraceae		Lapsana communis		No	NA	C3		
Bremia	microspora	Bremia microspora	Asteraceae		Ixeris chinensis		No	NA	C3		
Bremia	ovata	Bremia ovata	Asteraceae		Crepis japonica		No	NA	C3		
Bremia	picridis	Bremia picridis	Asteraceae		Picris hieracioides		No	NA	C3		
Bremia	polycephala	Bremia polycephala	Asteraceae		Ixeris polycephala		No	NA	C3		
Bremia	saussureae	Bremia saussureae	Asteraceae		Hemistepta lyrata		No	NA	C3		
Bremia	sawadae	Bremia sawadae	Asteraceae		Crepidiastrum denticulatum		No	NA	C3		
Bremia	sonchi	Bremia sonchi	Asteraceae		Sonchus oleraceus		No	NA	C3		
Bremia	sonchicola	Bremia sonchicola	Asteraceae		Sonchus oleraceus		No	NA	C3		
Bremia	taraxaci	Bremia taraxaci	Asteraceae		Taraxacum sp		No	NA	C3		
Bremia	tulasnei	Bremia tulasnei	Asteraceae		Senecio vulgaris		No	NA	C3		
Bremia	xanthii	Bremia xanthii	Asteraceae		Xanthium strumarium		No	NA	C3		
Eraphthora	butleri	Eraphthora butleri	Poaceae	Eragrostis aspera	Eragrostis aspera		No	NA	C4		
Graminivora	graminicola	Graminivora graminicola	Poaceae	Arthraxon hispidus	Arthraxon hispidus		No	NA	C4		
Hyaloperonospora	alliariae-wasabi	Hyaloperonospora alliariae-wasabi	Brassicaceae	Eutrama japonicum [E. wasabi (Alliaria wasabi)]	Eutrema japonicum		No	NA	C3		
Hyaloperonospora	alyssi-calycini	Hyaloperonospora alyssi-calycini	Brassicaceae	"Alyssum alyssoides, montanum"	Alyssum alyssoides 		No	NA	C3		
