"genus"	"specific_epithet"	"name"	"type_host_species_name"	"host_family"	"mycorrhizae"	"photosynthesis"
"28"	"Hyaloperonospora"	"alliariae-wasabi"	"Hyaloperonospora alliariae-wasabi"	"Eutrema japonicum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"29"	"Hyaloperonospora"	"alyssi-calycini"	"Hyaloperonospora alyssi-calycini"	"Alyssum alyssoides "	"Brassicaceae"	"nonmycorrhizal"	"C3"
"30"	"Hyaloperonospora"	"alyssi-incani"	"Hyaloperonospora alyssi-incani"	"Berteroa incana"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"31"	"Hyaloperonospora"	"arabidis-alpinae"	"Hyaloperonospora arabidis-alpinae"	"Arabis alpina"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"32"	"Hyaloperonospora"	"arabidis-glabrae"	"Hyaloperonospora arabidis-glabrae"	"Turritis glabra"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"33"	"Hyaloperonospora"	"arabidis-hirsutae"	"Hyaloperonospora arabidis-hirsutae"	"Arabis hirsuta"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"34"	"Hyaloperonospora"	"arabidis-oxyphyllae"	"Hyaloperonospora arabidis-oxyphyllae"	"Boechera stricta"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"35"	"Hyaloperonospora"	"arabidis-strictae"	"Hyaloperonospora arabidis-strictae"	"Arabis scabra"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"36"	"Hyaloperonospora"	"arabidis-turritae"	"Hyaloperonospora arabidis-turritae"	"Arabis turrita"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"37"	"Hyaloperonospora"	"arabidopsidis"	"Hyaloperonospora arabidopsidis"	"Arabidopsis thaliana"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"38"	"Hyaloperonospora"	"aubrietae"	"Hyaloperonospora aubrietae"	"Aubrieta deltoidea"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"39"	"Hyaloperonospora"	"barbareae"	"Hyaloperonospora barbareae"	"Barbarea vulgaris"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"40"	"Hyaloperonospora"	"berteroae"	"Hyaloperonospora berteroae"	"Berteroa incana"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"41"	"Hyaloperonospora"	"biscutellae"	"Hyaloperonospora biscutellae"	"Biscutella laevigata"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"42"	"Hyaloperonospora"	"brassicae"	"Hyaloperonospora brassicae"	"Brassica oleracea"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"43"	"Hyaloperonospora"	"buniadis"	"Hyaloperonospora buniadis"	"Bunias orientalis"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"44"	"Hyaloperonospora"	"cakiles"	"Hyaloperonospora cakiles"	"Cakile edentula"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"45"	"Hyaloperonospora"	"calepinae"	"Hyaloperonospora calepinae"	"Calepina irregularis"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"46"	"Hyaloperonospora"	"camelinae"	"Hyaloperonospora camelinae"	"Camelina sativa"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"47"	"Hyaloperonospora"	"cardamines-enneaphyllos"	"Hyaloperonospora cardamines-enneaphyllos"	"Cardamine enneaphyllos"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"48"	"Hyaloperonospora"	"cardamines-laciniatae"	"Hyaloperonospora cardamines-laciniatae"	"Cardamine laciniata"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"49"	"Hyaloperonospora"	"cardaminopsidis"	"Hyaloperonospora cardaminopsidis"	"Cardaminopsis arenosa"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"50"	"Hyaloperonospora"	"carpoceratis"	"Hyaloperonospora carpoceratis"	"Thlaspi ceratocarpum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"51"	"Hyaloperonospora"	"chartolomatis"	"Hyaloperonospora chartolomatis"	"Chartoloma platycarpum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"52"	"Hyaloperonospora"	"cheiranthi"	"Hyaloperonospora cheiranthi"	"Cheiranthus cheiri"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"53"	"Hyaloperonospora"	"chorisporae"	"Hyaloperonospora chorisporae"	"Chorispora tenella"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"54"	"Hyaloperonospora"	"cochleariae"	"Hyaloperonospora cochleariae"	"Cochlearia danica"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"55"	"Hyaloperonospora"	"conringiae"	"Hyaloperonospora conringiae"	"Conringia orientalis"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"56"	"Hyaloperonospora"	"crambes"	"Hyaloperonospora crambes"	"Crambe maritima"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"57"	"Hyaloperonospora"	"cryptosporae"	"Hyaloperonospora cryptosporae"	"Cryptospora falcate"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"58"	"Hyaloperonospora"	"daughtreyae"	"Hyaloperonospora daughtreyae"	"Tarenaya hassleriana"	"Cleomaceae"	"nonmycorrhizal"	"C3"
"59"	"Hyaloperonospora"	"dentariae"	"Hyaloperonospora dentariae"	"Cardamine heptaphylla"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"60"	"Hyaloperonospora"	"dentariae-macrophyllae"	"Hyaloperonospora dentariae-macrophyllae"	"Cardamine leucantha"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"61"	"Hyaloperonospora"	"desertorum"	"Hyaloperonospora desertorum"	"Alyssum desertorum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"62"	"Hyaloperonospora"	"diplotaxidis"	"Hyaloperonospora diplotaxidis"	"Diplotaxis tenuifolia"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"63"	"Hyaloperonospora"	"diptychocarpi"	"Hyaloperonospora diptychocarpi"	"Diptychocarpus strictus"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"64"	"Hyaloperonospora"	"drabae"	"Hyaloperonospora drabae"	"Draba reptans"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"65"	"Hyaloperonospora"	"eigii"	"Hyaloperonospora eigii"	"Leptaleum filifolium"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"66"	"Hyaloperonospora"	"erophilae"	"Hyaloperonospora erophilae"	"Draba verna"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"67"	"Hyaloperonospora"	"erucae"	"Hyaloperonospora erucae"	"Eruca sativa"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"68"	"Hyaloperonospora"	"erucastri"	"Hyaloperonospora erucastri"	"Erucastrum gallicum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"69"	"Hyaloperonospora"	"erysimi"	"Hyaloperonospora erysimi"	"Erysimum crepidifolium"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"70"	"Hyaloperonospora"	"euclidii"	"Hyaloperonospora euclidii"	"Euclidium syriacum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"71"	"Hyaloperonospora"	"floerkeae"	"Hyaloperonospora floerkeae"	"Floerkea proserpinacoides"	"Limnanthaceae"	"nonmycorrhizal"	"C3"
