"genus"	"specific_epithet"	"name"	"type_host_species_name"	"host_family"	"mycorrhizae"	"photosynthesis"
"1"	"Baobabopsis"	"donbarrettii"	"Baobabopsis donbarrettii"	"Perotis rara"	"Poaceae"	"mycorrhizal"	"C4"
"2"	"Baobabopsis"	"enneapogonis"	"Baobabopsis enneapogonis"	"Enneapogon cylindricus"	"Poaceae"	"mycorrhizal"	"C4"
"3"	"Basidiophora"	"delawarensis"	"Basidiophora delawarensis"	"Solidago sphacelata"	"Asteraceae"	"mycorrhizal"	"C3"
"4"	"Basidiophora"	"entospora"	"Basidiophora entospora"	"Erigeron canadensis"	"Asteraceae"	"mycorrhizal"	"C3"
"5"	"Basidiophora"	"montana"	"Basidiophora montana"	"Mikania micrantha"	"Asteraceae"	"mycorrhizal"	"C3"
"6"	"Basidiophora"	"simplex"	"Basidiophora simplex"	"Symphyotrichum novae-angliae"	"Asteraceae"	"mycorrhizal"	"C3"
"7"	"Benua"	"kellermani"	"Benua kellermani"	"Iva xanthiifolia"	"Asteraceae"	"mycorrhizal"	"C3"
"8"	"Bremia"	"centaureae"	"Bremia centaureae"	"Centaurea montana"	"Asteraceae"	"mycorrhizal"	"C3"
"9"	"Bremia"	"cirsii"	"Bremia cirsii"	"Cirsium sp"	"Asteraceae"	"mycorrhizal"	"C3"
"10"	"Bremia"	"elliptica"	"Bremia elliptica"	"Lactuca indica"	"Asteraceae"	"mycorrhizal"	"C3"
"11"	"Bremia"	"itoana"	"Bremia itoana"	"Crepidiastrum sonchifolium"	"Asteraceae"	"mycorrhizal"	"C3"
"12"	"Bremia"	"lactucae"	"Bremia lactucae"	"Lactuca sativa"	"Asteraceae"	"mycorrhizal"	"C3"
"13"	"Bremia"	"lagoseridis"	"Bremia lagoseridis"	"Lagoseris sancta"	"Asteraceae"	"mycorrhizal"	"C3"
"14"	"Bremia"	"lapsanae"	"Bremia lapsanae"	"Lapsana communis"	"Asteraceae"	"mycorrhizal"	"C3"
"15"	"Bremia"	"microspora"	"Bremia microspora"	"Ixeris chinensis"	"Asteraceae"	"mycorrhizal"	"C3"
"16"	"Bremia"	"ovata"	"Bremia ovata"	"Crepis japonica"	"Asteraceae"	"mycorrhizal"	"C3"
"17"	"Bremia"	"picridis"	"Bremia picridis"	"Picris hieracioides"	"Asteraceae"	"mycorrhizal"	"C3"
"18"	"Bremia"	"polycephala"	"Bremia polycephala"	"Ixeris polycephala"	"Asteraceae"	"mycorrhizal"	"C3"
"19"	"Bremia"	"saussureae"	"Bremia saussureae"	"Hemistepta lyrata"	"Asteraceae"	"mycorrhizal"	"C3"
"20"	"Bremia"	"sawadae"	"Bremia sawadae"	"Crepidiastrum denticulatum"	"Asteraceae"	"mycorrhizal"	"C3"
"21"	"Bremia"	"sonchi"	"Bremia sonchi"	"Sonchus oleraceus"	"Asteraceae"	"mycorrhizal"	"C3"
"22"	"Bremia"	"sonchicola"	"Bremia sonchicola"	"Sonchus oleraceus"	"Asteraceae"	"mycorrhizal"	"C3"
"23"	"Bremia"	"taraxaci"	"Bremia taraxaci"	"Taraxacum sp"	"Asteraceae"	"mycorrhizal"	"C3"
"24"	"Bremia"	"tulasnei"	"Bremia tulasnei"	"Senecio vulgaris"	"Asteraceae"	"mycorrhizal"	"C3"
"25"	"Bremia"	"xanthii"	"Bremia xanthii"	"Xanthium strumarium"	"Asteraceae"	"mycorrhizal"	"C3"
"26"	"Eraphthora"	"butleri"	"Eraphthora butleri"	"Eragrostis aspera"	"Poaceae"	"mycorrhizal"	"C4"
"27"	"Graminivora"	"graminicola"	"Graminivora graminicola"	"Arthraxon hispidus"	"Poaceae"	"mycorrhizal"	"C4"
"123"	"Novotelnova"	"scorzonerae"	"Novotelnova scorzonerae"	"Scorzonera hispanica"	"Asteraceae"	"mycorrhizal"	"C3"
"124"	"Paraperonospora"	"apiculata"	"Paraperonospora apiculata"	"Galatella punctata"	"Asteraceae"	"mycorrhizal"	"C3"
"125"	"Paraperonospora"	"artemisiae-annuae"	"Paraperonospora artemisiae-annuae"	"Artemisia annua"	"Asteraceae"	"mycorrhizal"	"C3"
"126"	"Paraperonospora"	"artemisiae-biennis"	"Paraperonospora artemisiae-biennis"	"Artemisia biennis"	"Asteraceae"	"mycorrhizal"	"C3"
"127"	"Paraperonospora"	"chrysanthermi-coronarii"	"Paraperonospora chrysanthermi-coronarii"	"Chrysanthemum coronarium"	"Asteraceae"	"mycorrhizal"	"C3"
"128"	"Paraperonospora"	"leptosperma"	"Paraperonospora leptosperma"	"Tripleurospermum inodorum"	"Asteraceae"	"mycorrhizal"	"C3"
"129"	"Paraperonospora"	"minor"	"Paraperonospora minor"	"Artemisia vulgaris"	"Asteraceae"	"mycorrhizal"	"C3"
"130"	"Paraperonospora"	"multiformis"	"Paraperonospora multiformis"	"Artemisia annua"	"Asteraceae"	"mycorrhizal"	"C3"
"131"	"Paraperonospora"	"sulphurea"	"Paraperonospora sulphurea"	"Artemisia absinthium"	"Asteraceae"	"mycorrhizal"	"C3"
"132"	"Paraperonospora"	"tanaceti"	"Paraperonospora tanaceti"	"Tanacetum vulgare"	"Asteraceae"	"mycorrhizal"	"C3"
"133"	"Perofascia"	"lepidii"	"Perofascia lepidii"	"Lepidium virginicum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"134"	"Perofascia"	"macaicola"	"Perofascia macaicola"	"Lepidium meyenii"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"135"	"Peronosclerospora"	"dichanthiicola"	"Peronosclerospora dichanthiicola"	"Dichanthium annulatum"	"Poaceae"	"mycorrhizal"	"C4"
"136"	"Peronosclerospora"	"erichloae"	"Peronosclerospora erichloae"	"Eriochloa pseudoacrotricha"	"Poaceae"	"mycorrhizal"	"C4"
"137"	"Peronosclerospora"	"globosa"	"Peronosclerospora globosa"	"Eriochloa contracta"	"Poaceae"	"mycorrhizal"	"C4"
"138"	"Peronosclerospora"	"heteropogonis"	"Peronosclerospora heteropogonis"	"Heteropogon contortus"	"Poaceae"	"mycorrhizal"	"C4"
"139"	"Peronosclerospora"	"maydis"	"Peronosclerospora maydis"	"Zea mays"	"Poaceae"	"mycorrhizal"	"C4"
"140"	"Peronosclerospora"	"miscanthi"	"Peronosclerospora miscanthi"	"Miscanthus sinenses"	"Poaceae"	"mycorrhizal"	"C4"
"141"	"Peronosclerospora"	"noblei"	"Peronosclerospora noblei"	"Sorghum plumosum"	"Poaceae"	"mycorrhizal"	"C4"
"142"	"Peronosclerospora"	"philippinensis"	"Peronosclerospora philippinensis"	"Zea mays"	"Poaceae"	"mycorrhizal"	"C4"
"143"	"Peronosclerospora"	"sacchari"	"Peronosclerospora sacchari"	"Saccharum sp"	"Poaceae"	"mycorrhizal"	"C4"
"144"	"Peronosclerospora"	"sargae"	"Peronosclerospora sargae"	"Sorghum timorense"	"Poaceae"	"mycorrhizal"	"C4"
"145"	"Peronosclerospora"	"sorghi"	"Peronosclerospora sorghi"	"Sorghum bicolor"	"Poaceae"	"mycorrhizal"	"C4"
"146"	"Peronosclerospora"	"spontanea"	"Peronosclerospora spontanea"	"Saccharum spontaneum"	"Poaceae"	"mycorrhizal"	"C4"
"147"	"Peronosclerospora"	"westonii"	"Peronosclerospora westonii"	"Iseilema laxum"	"Poaceae"	"mycorrhizal"	"C4"
"651"	"Plasmoverna"	"alpina"	"Plasmoverna alpina"	"Thalictrum alpinum"	"Ranunculaceae"	"mycorrhizal"	"C3"
"652"	"Plasmoverna"	"anemones-dichotomae"	"Plasmoverna anemones-dichotomae"	"Anemonidium dichotomum"	"Ranunculaceae"	"mycorrhizal"	"C3"
"653"	"Plasmoverna"	"anemones-ranunculoidis"	"Plasmoverna anemones-ranunculoidis"	"Anemone ranunculoides"	"Ranunculaceae"	"mycorrhizal"	"C3"
"654"	"Plasmoverna"	"fusca"	"Plasmoverna fusca"	"Hepatica nobilis"	"Ranunculaceae"	"mycorrhizal"	"C3"
"655"	"Plasmoverna"	"hellebori"	"Plasmoverna hellebori"	"Helleborus purpurascens"	"Ranunculaceae"	"mycorrhizal"	"C3"
"656"	"Plasmoverna"	"isopyri-thalictroidis"	"Plasmoverna isopyri-thalictroidis"	"Isopyrum thalictroides"	"Ranunculaceae"	"mycorrhizal"	"C3"
"657"	"Plasmoverna"	"pygmaea"	"Plasmoverna pygmaea"	"Anemone nemorosa"	"Ranunculaceae"	"mycorrhizal"	"C3"
"658"	"Poakatesthia"	"penniseti"	"Poakatesthia penniseti"	"Pennisetum glaucum"	"Poaceae"	"mycorrhizal"	"C4"
"659"	"Protobremia"	"sphaerosperma"	"Protobremia sphaerosperma"	"Tragopogon dubius"	"Asteraceae"	"mycorrhizal"	"C3"
"660"	"Pseudoperonospora"	"cannabina"	"Pseudoperonospora cannabina"	"Cannabis sativa"	"Cannabaceae"	"mycorrhizal"	"C3"
"661"	"Pseudoperonospora"	"cassia"	"Pseudoperonospora cassia"	"Senna occidentalis "	"Fabaceae"	"mycorrhizal"	"C3"
"662"	"Pseudoperonospora"	"celtidis"	"Pseudoperonospora celtidis"	"Celtis occidentalis"	"Cannabaceae"	"mycorrhizal"	"C3"
"663"	"Pseudoperonospora"	"cubensis"	"Pseudoperonospora cubensis"	"Cucurbita sp"	"Cucurbitaceae"	"mycorrhizal"	"C3"
"664"	"Pseudoperonospora"	"elsholtziae"	"Pseudoperonospora elsholtziae"	"Elsholtzia ciliata"	"Lamiaceae"	"mycorrhizal"	"C3"
"665"	"Pseudoperonospora"	"humuli"	"Pseudoperonospora humuli"	"Humulus lupulus"	"Cannabaceae"	"mycorrhizal"	"C3"
"666"	"Pseudoperonospora"	"urticae"	"Pseudoperonospora urticae"	"Urtica dioica"	"Urticaceae"	"mycorrhizal"	"C3"
"667"	"Sclerophthora"	"cryophila"	"Sclerophthora cryophila"	"Dactylis glomerata"	"Poaceae"	"mycorrhizal"	"C3"
"668"	"Sclerophthora"	"lolii"	"Sclerophthora lolii"	"Lolium rigidum"	"Poaceae"	"mycorrhizal"	"C3"
"669"	"Sclerophthora"	"macrospora"	"Sclerophthora macrospora"	"Alopecurus sp"	"Poaceae"	"mycorrhizal"	"C3"
"670"	"Sclerophthora"	"northii"	"Sclerophthora northii"	"Saccharum maximum"	"Poaceae"	"mycorrhizal"	"C4"
"671"	"Sclerophthora"	"rayssiae var. rayssiae"	"Sclerophthora rayssiae var. rayssiae"	"Hordei vulgaris"	"Poaceae"	"mycorrhizal"	"C3"
"672"	"Sclerophthora"	"rayssiae var. zea"	"Sclerophthora rayssiae var. zea"	"Zea mays var. indurata"	"Poaceae"	"mycorrhizal"	"C4"
"673"	"Sclerospora"	"farlowii"	"Sclerospora farlowii"	"Chloris virgata"	"Poaceae"	"mycorrhizal"	"C4"
"674"	"Sclerospora"	"graminicola"	"Sclerospora graminicola"	"Setaria virids"	"Poaceae"	"mycorrhizal"	"C4"
"675"	"Sclerospora"	"iseilmatis"	"Sclerospora iseilmatis"	"Iseilema laxum"	"Poaceae"	"mycorrhizal"	"C4"
"676"	"Sclerospora"	"magnusiana"	"Sclerospora magnusiana"	"Equisetum arvense"	"Equisetaceae"	"mycorrhizal"	"C3"
"677"	"Viennotia"	"oplismeni"	"Viennotia oplismeni"	"Oplismenus compositus"	"Poaceae"	"mycorrhizal"	"C4"
