"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"180","BPI","BPI 786033","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A A Dunlap",NA,1928,9,17,1920,"Lactuca sativa","Asteraceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Connecticut",41.05343,-73.538734,NA,10974,NA
"181","NCU","NCU-F-0018715","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5027",1882,5,28,1880,"Lactuca canadensis","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",37.460327,-89.247028,"WGS84",2930,NA
"182","BPI","BPI 910822","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","4896",1882,6,8,1880,"Lactuca canadensis","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"183","ILL","BPI 786410","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5349",1882,6,28,1880,"Lactuca canadensis","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.0170673333333,-91.2268243333333,"WGS84",2600.33333333333,NA
"184","BPI","BPI 786404","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5542",1882,7,12,1880,"Lactuca canadensis","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.048507,-91.102302,"WGS84",1480,NA
"185","ILL","ILL00096287","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5542",1882,7,14,1880,"Lactuca canadensis","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"186","BPI","BPI 786106","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5562",1882,7,14,1880,"Lactuca floridana","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"187","BPI","BPI 786107","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5598",1882,7,17,1880,"Lactuca floridana","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"188","ILL","ILL00096286","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5622",1882,8,7,1880,"Lactuca sativa","Asteraceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Illinois",40.0578,-91.1353,"WGS84",1000,NA
"189","BPI","BPI 786409","PreservedSpecimen","Bremia","lactucae","Bremia lactucae","A B Seymour","5706",1882,9,6,1880,"Lactuca canadensis","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.484203,-88.993687,"WGS84",8720,NA
