"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"30","MICH","335367","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","D B O Savile","19664",1947,8,26,1940,"Symphyotrichum puniceum","Asteraceae","wild","native","wild-native","North America","Canada","Quebec",48.908093,-66.178027,NA,7121,NA
"58","Royal Ontario Museum","TRTC007189","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","H S Jackson",NA,1933,5,29,1930,"Symphyotrichum cordifolium","Asteraceae","wild","native","wild-native","North America","Canada","Ontario",43.9500071,-79.4263458,"WGS84",929,NA
"63","BPI","BPI 187657","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","J Dearness","483",1890,9,19,1890,"Solidago rigida","Asteraceae","wild","native","wild-native","North America","Canada","Ontario",42.983333,-81.25,NA,17471,NA
"64","NY","BPI 796334","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","J Dearness","s.n.",1910,10,24,1910,"Solidago rigida","Asteraceae","wild","native","wild-native","North America","Canada","Ontario",42.98107225,-81.248283375,"WGS84",17521.4285714286,NA
"65","S","F161778","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","J Dearness",NA,1912,6,1,1910,"Solidago gigantea","Asteraceae","wild","native","wild-native","North America","Canada","Ontario",NA,NA,NA,NA,NA
"66","CHRB","CHRB-F-0001480","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","J Dearness","s.n.",1912,6,NA,1910,"Solidago gigantea","Asteraceae","wild","native","wild-native","North America","Canada","Ontario",42.983333,-81.25,"WGS84",18130,NA
"67","CHRB","CHRB-F-0001481","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","J Dearness","s.n.",1912,8,NA,1910,"Solidago rigida","Asteraceae","wild","native","wild-native","North America","Canada","Ontario",42.983333,-81.25,"WGS84",18130,NA
"68","BPI","BPI 187656","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","J Dearness",NA,1924,9,13,1920,"Solidago rigida","Asteraceae","wild","native","wild-native","North America","Canada","Ontario",42.983333,-81.25,NA,17471,NA
"106","Royal Ontario Museum","TRTC023730","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","R F Cain",NA,1951,9,26,1950,"Aster sp","Asteraceae",NA,NA,NA,"North America","Canada","Ontario",43.8415844,-79.6495914,"WGS84",1238,NA
"113","WSP","WSP20439","PreservedSpecimen","Basidiophora","entospora","Basidiophora entospora","W Jones",NA,1939,7,24,1930,"Symphyotrichum ciliolatum","Asteraceae","wild","native","wild-native","North America","Canada","British Columbia",49.233333,-121.766667,NA,NA,NA
"130","MICH","335368","PreservedSpecimen","Basidiophora","simplex","Basidiophora simplex","D B O Savile","13769",1943,9,29,1940,"Symphyotrichum novae-angliae","Asteraceae","cultivated","native","cultivated-native","North America","Canada","Ontario",45.416667,-75.7,NA,52150,NA
"131","RMS","RMS0010135","PreservedSpecimen","Basidiophora","simplex","Basidiophora simplex","D B O Savile","13770",1943,9,30,1940,"Symphyotrichum novae-angliae","Asteraceae","cultivated","native","cultivated-native","North America","Canada","Ontario",NA,NA,NA,NA,NA
"132","BPI","BPI 187622","PreservedSpecimen","Basidiophora","simplex","Basidiophora simplex","G D Darker","6441",1937,9,5,1930,"Symphyotrichum novae-angliae","Asteraceae","cultivated","native","cultivated-native","North America","Canada","Ontario",43.696353,-79.512071,NA,7191,NA
