"","Basidiophora delawarensis","Basidiophora entospora","Basidiophora simplex","Benua kellermanii","Bremia lactucae","Hyaloperonospora arabidis-glabrae","Hyaloperonospora arabidis-oxyphyllae","Hyaloperonospora arabidopsidis","Hyaloperonospora barbareae","Hyaloperonospora brassicae","Hyaloperonospora cakiles","Hyaloperonospora camelinae","Hyaloperonospora cardamines-laciniatae","Hyaloperonospora cheiranthi","Hyaloperonospora cochleariae","Hyaloperonospora daughtreyae","Hyaloperonospora dentariae","Hyaloperonospora erophilae","Hyaloperonospora floerkeae","Hyaloperonospora galligena","Hyaloperonospora hesperidis","Hyaloperonospora iberidis","Hyaloperonospora lobulariae","Hyaloperonospora nasturtii-aquatici","Hyaloperonospora nasturtii-palustiris","Hyaloperonospora parasitica","Hyaloperonospora sisymbrii-intermedii","Hyaloperonospora sisymbrii-officinalis","Hyaloperonospora sisymbrii-sophiae","Hyaloperonospora sp","Paraperonospora artemisiae-biennis","Paraperonospora leptosperma","Paraperonospora sulphurea","Peronosclerospora sorghi","Peronospora aestivalis","Peronospora aestivalis f. lupulinae","Peronospora agrimoniae","Peronospora agrostemmatis","Peronospora alsinearum","Peronospora alta","Peronospora amaranthi","Peronospora americana","Peronospora androsaces","Peronospora antirrhini","Peronospora aparines","Peronospora arborescens","Peronospora arthuri","Peronospora arthurii","Peronospora astragali","Peronospora belbahrii","Peronospora borealis","Peronospora calotheca","Peronospora calotheca var. galii-vaillantii","Peronospora canadensis","Peronospora capsici","Peronospora chamaesycis","Peronospora cheiranthi","Peronospora chenopodii","Peronospora choi","Peronospora ciceris","Peronospora claytoniae","Peronospora corydalis","Peronospora corydalis-intermediae","Peronospora cynoglossi","Peronospora cyparissiae","Peronospora davisii","Peronospora destructor","Peronospora dianthi","Peronospora dicentrae","Peronospora digitalidis","Peronospora dipsaci","Peronospora dipsaci-silvestris","Peronospora ducometii","Peronospora echinospermi","Peronospora effusa","Peronospora erigoni","Peronospora ervi","Peronospora euphorbiae","Peronospora euphorbiae-glyptospermae","Peronospora fabae","Peronospora ficariae","Peronospora fragariae","Peronospora galii","Peronospora gei","Peronospora giliae","Peronospora grisea","Peronospora hedeomatis","Peronospora hiemalis","Peronospora hydrophylli","Peronospora jaapiana","Peronospora jacksonii","Peronospora kuewa","Peronospora lamii","Peronospora lathyri-maritimi","Peronospora lathyri-palustris","Peronospora lini","Peronospora lithospermi","Peronospora lophanthi","Peronospora lotorum","Peronospora manshurica","Peronospora matthiolae","Peronospora mayorii","Peronospora melampyri","Peronospora mesembryanthemi","Peronospora monardae","Peronospora monolepidis","Peronospora muralis","Peronospora myosotidis","Peronospora narbonensis","Peronospora nemophilae","Peronospora obovata","Peronospora oxybaphi","Peronospora phlogina","Peronospora pisi","Peronospora plantaginis","Peronospora polygoni","Peronospora polygoni-convolvuli","Peronospora potentillae","Peronospora radii","Peronospora ranunculi","Peronospora ranunculi-peduncularis","Peronospora rubi","Peronospora rumicis","Peronospora saxifragae","Peronospora schachtii","Peronospora sepium","Peronospora seymourii","Peronospora silenes","Peronospora somniferi","Peronospora sordida","Peronospora sp","Peronospora sparsa","Peronospora stigmaticola","Peronospora swinglei","Peronospora tabacina","Peronospora trigonellae","Peronospora valerianae","Peronospora valerianellae","Peronospora variabilis","Peronospora vexans","Peronospora viciae","Peronospora viciicola","Peronospora violae","Peronospora whippleae","Plasmopara acalyphae","Plasmopara affinis f. affinis","Plasmopara affinis f. silphii","Plasmopara angustiterminalis f. ambrosiae","Plasmopara angustiterminalis f. bidentis","Plasmopara australis","Plasmopara carlottae","Plasmopara cephalophora","Plasmopara cercidis","Plasmopara cissi","Plasmopara constantinescui","Plasmopara destructor","Plasmopara epilobii","Plasmopara geranii","Plasmopara gnaphalii","Plasmopara gonolobi","Plasmopara halstedii","Plasmopara helianthi","Plasmopara helianthi f. helianthi","Plasmopara helianthi f. patens","Plasmopara helianthi f. perennis","Plasmopara illinoensis","Plasmopara impatientis","Plasmopara lactucae-radicis","Plasmopara latifolii","Plasmopara megasperma","Plasmopara muralis","Plasmopara myosotidis","Plasmopara nivea","Plasmopara obducens","Plasmopara portoricensis","Plasmopara ribicola","Plasmopara sp","Plasmopara velutina","Plasmopara viburni","Plasmopara vincetoxici","Plasmopara viticola","Plasmopara wilsonii","Plasmoverna alpina","Plasmoverna fusca","Plasmoverna pygmaea","Plasmoverna sp","Pseudoperonospora celtidis","Pseudoperonospora cubensis","Pseudoperonospora humuli","Pseudoperonospora urticae","Sclerophthora cryophila","Sclerophthora gigaspora","Sclerophthora macrospora","Sclerospora farlowii","Sclerospora graminicola"
"1800",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1870",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,1
"1880",0,38,9,4,80,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8,9,0,0,74,7,0,15,0,0,0,1,1,33,47,0,5,7,0,15,0,0,65,9,0,4,3,1,1,0,2,0,3,0,0,6,12,8,16,0,0,7,0,15,0,0,1,0,10,0,0,0,16,1,1,50,0,0,13,0,8,4,1,9,0,1,0,0,0,0,1,0,28,0,0,0,0,3,0,0,0,0,28,17,0,0,10,3,0,0,24,2,25,0,1,1,8,0,0,0,0,5,6,0,34,16,2,0,5,2,0,0,0,44,0,1,0,16,0,0,0,17,0,27,43,0,0,0,0,4,0,1,26,0,0,115,55,5,2,4,6,0,0,0,14,13,0,0,28,0,1,1,1,9,0,165,54,0,7,38,0,0,14,0,1,0,0,0,0,27
"1890",0,5,5,7,50,0,1,0,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,3,2,6,14,0,0,77,6,2,1,0,1,0,8,0,7,26,0,8,0,0,1,2,0,29,1,0,7,3,1,3,0,2,0,3,0,0,4,15,4,0,0,0,5,0,19,0,0,0,0,11,19,0,0,12,1,0,34,0,0,4,1,1,1,0,11,1,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,3,0,3,9,5,0,4,4,2,12,0,0,0,4,0,0,0,0,2,6,0,11,10,7,0,5,0,0,0,0,46,0,2,0,1,1,0,0,4,7,29,21,0,0,1,0,3,2,0,33,4,2,50,12,6,0,0,0,1,0,0,5,2,0,0,21,0,3,0,0,8,0,127,41,0,7,35,1,14,54,0,0,0,0,0,0,37
"1900",0,7,3,21,38,0,1,0,0,28,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,9,5,0,0,51,1,0,0,0,13,0,5,0,13,28,0,5,0,0,14,0,0,36,3,0,2,1,0,1,0,3,0,5,0,0,1,3,3,0,0,2,13,0,8,0,0,0,0,7,7,0,1,8,4,0,36,0,0,5,0,6,0,1,13,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,3,4,4,3,0,1,3,0,7,0,0,0,8,4,0,0,0,0,1,0,11,11,3,0,0,3,0,0,0,24,0,9,0,2,0,0,1,3,8,13,26,0,0,0,0,0,0,1,40,0,2,49,27,5,3,0,0,0,0,1,1,7,0,0,17,0,16,1,0,5,1,165,21,0,18,24,0,0,79,7,0,0,0,0,2,24
"1910",0,16,2,14,75,3,3,0,0,16,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,14,10,0,0,56,3,0,7,0,46,0,15,0,5,19,0,8,0,0,2,0,1,52,4,0,7,3,1,3,0,2,0,2,0,0,6,5,3,0,0,0,6,0,12,0,0,0,0,3,17,0,0,3,2,0,25,0,1,12,0,12,0,0,20,0,2,0,2,0,0,0,0,7,0,0,0,0,1,0,0,1,0,12,15,2,9,1,0,3,3,3,1,13,0,0,0,5,0,0,0,1,0,9,0,13,18,1,0,0,0,0,0,0,38,1,4,0,1,0,4,0,2,4,14,16,0,6,0,0,0,0,0,35,0,1,41,30,6,6,5,0,1,0,1,0,9,0,1,14,3,11,0,0,4,0,132,10,0,21,24,0,0,46,11,0,0,0,2,0,17
