"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"1146","WSP","WSP36465","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A A Heller; G E Heller","s.n.",1896,4,30,1890,"Descurainia incana","Brassicaceae","wild","native","wild-native","North America","United States of America","Idaho",46.41667,-117.01667,NA,NA,NA
"1147","BPI","BPI 790384","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A A Heller; G E Heller","s.n.",1896,4,30,1890,"Sisymbrium sp","Brassicaceae",NA,NA,NA,"North America","United States of America","Idaho",NA,NA,NA,NA,NA
"1148","NY","1960643","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A A Heller; G E Heller","3020",1896,5,5,1890,"Lepidium armoracia","Brassicaceae",NA,NA,NA,"North America","United States of America","Idaho",NA,NA,NA,NA,NA
"1149","MSC","MSC0218367","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A A Heller; G E Heller","3020",1896,5,5,1890,"Lepidium sp","Brassicaceae",NA,NA,NA,"North America","United States of America","Idaho",46.416551,-117.017657,"WGS84",7433,NA
"1150","BPI","BPI 790527","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Langlois","1091",1887,2,25,1880,"Lepidium sp","Brassicaceae",NA,NA,NA,"North America","United States of America","Louisiana",NA,NA,NA,NA,NA
"1151","BPI","BPI 790528","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Langlois",NA,1889,5,2,1880,"Lepidium sp","Brassicaceae",NA,NA,NA,"North America","United States of America","Louisiana",NA,NA,NA,NA,NA
"1152","CUP","S.E,Econ.F.0258","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour",NA,1882,4,13,1880,"Lepidium sp","Brassicaceae",NA,NA,NA,"North America","United States of America","Illinois",37.531439,-89.253418,"WGS84",2166,NA
"1153","MU","1960637","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","258a",1882,4,13,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.53200425,-89.253717375,"WGS84",1792,NA
"1154","NCU","NCU-F-0018945","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4094",1882,4,14,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.460327,-89.247028,"WGS84",2930,NA
"1155","NCU","NCU-F-0018963","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4222",1882,4,21,1880,"Draba reptans","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.626439,-89.497874,"WGS84",2430,NA
"1156","NCU","NCU-F-0018959","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4261",1882,4,24,1880,"Cardamine concatenata","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.561438,-89.438983,"WGS84",1745,NA
"1157","NCU","NCU-F-0018948","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4389",1882,4,29,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.460327,-89.247028,"WGS84",2930,NA
"1158","BPI","BPI 790471","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4793",1882,5,26,1880,"Lepidium armoracia","Brassicaceae",NA,NA,NA,"North America","United States of America","Illinois",40.514203,-88.990631,"WGS84",6559,NA
"1159","ILL","BPI 789052","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","5240",1882,6,20,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",41.3321175,-88.8999395,"WGS84",4769.5,NA
"1160","ILL","ILL00096434","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","5278",1882,6,24,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,"WGS84",6559,NA
"1161","ILL","ILL00096437","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","5356",1882,6,29,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",39.996701,-91.2725865,"WGS84",3400.5,NA
"1162","ILL","ILL00096420","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4216",1882,NA,NA,1880,"Cardamine concatenata","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.708486,-89.3929463333333,"WGS84",12420.6666666667,NA
"1163","ILL","ILL00096408","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4222",1882,NA,NA,1880,"Draba reptans","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.626439,-89.497874,"WGS84",2430,NA
"1164","ILL","ILL00096396","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4793",1882,NA,NA,1880,"Lepidium armoracia","Brassicaceae",NA,NA,NA,"North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"1165","ILL","ILL00096433","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","4061",1882,NA,NA,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.4456055,-89.241518,"WGS84",2410.66666666667,NA
"1166","NCU","NCU-F-0018952","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour","s.n.",1895,7,17,1890,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Massachusetts",42.387596,-71.182832,"WGS84",3036,NA
"1167","BPI","BPI 789051","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A B Seymour; F S Earle","5023",1882,4,29,1880,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",37.460327,-89.247028,NA,2930,NA
"1168","WSP","WSP35832","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A Cronquist",NA,1949,8,6,1940,"Cardamine pensylvanica","Brassicaceae","wild","native","wild-native","North America","United States of America","Idaho",46.949378,-116.342013,NA,NA,NA
"1169","WSP","WSP36316","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A D E Elmer",NA,1903,4,NA,1900,"Lepidium nitidum","Brassicaceae","wild","native","wild-native","North America","United States of America","California",36.54333,-121.95361,NA,NA,NA
"1170","ILL","ILL00096386","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A D Selby",NA,1892,9,11,1890,"Lepidium virginicum","Brassicaceae","wild","native","wild-native","North America","United States of America","New Jersey",40.486216,-74.451819,"WGS84",4983,NA
"1171","BPI","BPI 790376","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A E Prince; C N Clayton; W C Barnes","4014",NA,NA,NA,NA,"Raphanus raphanistrum subsp sativus","Brassicaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","South Carolina",32.357059,-80.69217,NA,42256,NA
"1172","MICH","336117","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A H Povah","s. n.",1929,5,20,1920,"Cardamine concatenata","Brassicaceae","wild","native","wild-native","North America","United States of America","Illinois",NA,NA,NA,NA,NA
"1174","TENN-F","TENN-F-007805","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A J Sharp; L R Hesler","LRH7805",1934,4,17,1930,"Cardamine concatenata","Brassicaceae","wild","native","wild-native","North America","United States of America","Tennessee",35.93583333,-83.94527778,NA,NA,NA
"1175","WSP","WSP36352","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A M Alexander; L Kellogg",NA,1941,3,12,1940,"Streptanthella longirostris","Brassicaceae","wild","native","wild-native","North America","United States of America","California",32.9975,-115.07111,NA,NA,NA
"1176","WSP","WSP36350","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A Nelson",NA,1895,8,26,1890,"Stanleya pinnata","Brassicaceae","wild","native","wild-native","North America","United States of America","Wyoming",41.31139,-105.59056,NA,NA,NA
"1177","NY","2758192","PreservedSpecimen","Hyaloperonospora","sp","Hyaloperonospora sp","A O Garrett","3241",1926,7,19,1920,"Descurainia californica","Brassicaceae","wild","native","wild-native","North America","United States of America","Utah",NA,NA,NA,NA,NA
