"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"1808","BPI","BPI 791242","PreservedSpecimen","Peronospora","aestivalis","Peronospora aestivalis","E Smith",NA,1946,4,23,1940,"Medicago sativa","Fabaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"1882","BPI","BPI 791266","PreservedSpecimen","Peronospora","aestivalis","Peronospora aestivalis","J S Niederhauser",NA,1948,3,20,1940,"Medicago sativa","Fabaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"1895","WSP","WSP35084","PreservedSpecimen","Peronospora","aestivalis","Peronospora aestivalis","M L Jiminez; M Zentano",NA,1951,9,19,1950,"Medicago sativa","Fabaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,32.058333,-116.589167,NA,NA,NA
"1937","WSP","WSP35085","PreservedSpecimen","Peronospora","aestivalis","Peronospora aestivalis","W D Yerkes; M Zenteno",NA,1952,9,15,1950,"Medicago sativa","Fabaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,32.058333,-116.589167,NA,NA,NA
"2650","RMS","RMS0015417","PreservedSpecimen","Peronospora","arthurii","Peronospora arthurii","W G Solheim","6724",1968,4,9,1960,"Oenothera primiveris","Onagraceae","wild","native","wild-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"2885","ARIZ","ARIZ-M-AN00425","PreservedSpecimen","Peronospora","ciceris","Peronospora ciceris","E B Copeland",NA,1983,NA,NA,1980,"Cicer arietinum","Fabaceae","cultivated","non-native","cultivated-non-native","North America","Mexico","Sonora",NA,NA,NA,NA,NA
"3070","WSP","WSP35082","PreservedSpecimen","Peronospora","destructor","Peronospora destructor","J S Niederhauler",NA,1948,11,NA,1940,"Allium cepa","Amaryllidaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,32.058333,-116.589167,NA,NA,NA
"3079","iNaturalist","2979075","HumanObservation","Peronospora","destructor","Peronospora destructor","O A S Flores",NA,2016,5,9,2010,"Allium cepa","Amaryllidaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"3083","ARIZ","ARIZ-M-AN00242","PreservedSpecimen","Peronospora","destructor","Peronospora destructor","R B Hine",NA,1981,3,4,1980,"Allium cepa","Amaryllidaceae","cultivated","non-native","cultivated-non-native","North America","Mexico","Sinaloa",NA,NA,NA,NA,NA
"3390","BPI","BPI 788314","PreservedSpecimen","Peronospora","effusa","Peronospora effusa","Kaiser",NA,1949,4,7,1940,"Spinacia oleracea","Amaranthaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"3404","BPI","BPI 788304","PreservedSpecimen","Peronospora","effusa","Peronospora effusa","O E Meyers",NA,1957,3,4,1950,"Spinacia oleracea","Amaranthaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"3426","BPI","BPI 788311","PreservedSpecimen","Peronospora","effusa","Peronospora effusa","Wilson",NA,1950,3,31,1950,"Spinacia oleracea","Amaranthaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"3427","BPI","BPI 788308","PreservedSpecimen","Peronospora","effusa","Peronospora effusa","Wilson",NA,1953,3,7,1950,"Spinacia oleracea","Amaranthaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"4286","ARIZ","ARIZ-M-AN00262","PreservedSpecimen","Peronospora","manshurica","Peronospora manshurica","R B Hine",NA,1982,7,NA,1980,"Glycine max","Fabaceae","cultivated","non-native","cultivated-non-native","North America","Mexico",NA,NA,NA,NA,NA,NA
"4724","ARIZ","ARIZ-M-AN00124","PreservedSpecimen","Peronospora","pisi","Peronospora pisi","R B Hine",NA,1983,NA,NA,1980,"Pisum sativum","Fabaceae","cultivated","non-native","cultivated-non-native","North America","Mexico","Sinaloa",NA,NA,NA,NA,NA
"4921","BPI","BPI 790565","PreservedSpecimen","Peronospora","radii","Peronospora radii","R M Alvarez",NA,1980,8,17,1980,"Artemisia ludoviciana","Asteraceae","wild","native","wild-native","North America","Mexico",NA,NA,NA,NA,NA,NA
