"","cur_scientific_name","n"
"1","Plasmopara viticola",938
"2","Hyaloperonospora sp",534
"3","Bremia lactucae",438
"4","Plasmopara halstedii",420
"5","Pseudoperonospora cubensis",301
"6","Peronospora arthurii",267
"7","Plasmopara geranii",259
"8","Peronospora variabilis",250
"9","Peronospora ficariae",236
"10","Plasmoverna pygmaea",220
"11","Plasmopara wilsonii",207
"12","Sclerospora graminicola",207
"13","Plasmopara helianthi",199
"14","Peronospora aestivalis",193
"15","Peronospora alta",171
"16","Peronospora sp",159
"17","Hyaloperonospora brassicae",150
"18","Plasmopara australis",134
"19","Plasmopara obducens",129
"20","Plasmopara angustiterminalis f. bidentis",125
"21","Peronospora effusa",124
"22","Peronospora hydrophylli",120
"23","Basidiophora entospora",112
"24","Plasmoverna fusca",111
"25","Peronospora tabacina",110
"26","Peronospora myosotidis",106
"27","Peronospora potentillae",104
"28","Peronospora dicentrae",103
"29","Peronospora manshurica",100
"30","Hyaloperonospora parasitica",94
"31","Peronospora alsinearum",93
"32","Peronospora gei",87
"33","Peronospora grisea",84
"34","Hyaloperonospora sisymbrii-intermedii",80
"35","Peronospora sordida",80
"36","Pseudoperonospora humuli",72
"37","Peronospora destructor",71
"38","Peronospora phlogina",69
"39","Sclerophthora macrospora",69
"40","Peronospora narbonensis",65
"41","Benua kellermanii",63
"42","Peronospora agrimoniae",61
"43","Peronospora euphorbiae",60
"44","Peronospora lophanthi",60
"45","Peronospora echinospermi",58
"46","Peronospora rubi",50
"47","Peronospora corydalis",49
"48","Plasmopara muralis",49
"49","Plasmopara ribicola",49
"50","Plasmopara viburni",49
"51","Plasmopara helianthi f. helianthi",48
"52","Peronospora aparines",47
"53","Peronospora polygoni",47
"54","Peronospora oxybaphi",45
"55","Peronospora pisi",45
"56","Peronospora claytoniae",39
"57","Peronospora americana",38
"58","Basidiophora simplex",36
"59","Peronospora borealis",36
"60","Peronospora viciae",34
"61","Peronospora astragali",33
"62","Plasmopara affinis f. silphii",32
"63","Peronospora chenopodii",30
"64","Peronospora nemophilae",30
"65","Peronospora silenes",29
"66","Plasmopara illinoensis",29
"67","Paraperonospora sulphurea",28
"68","Peronospora obovata",28
"69","Peronospora calotheca",25
"70","Plasmopara megasperma",25
"71","Plasmopara angustiterminalis f. ambrosiae",24
"72","Peronospora canadensis",23
"73","Peronospora lamii",23
"74","Peronospora violae",23
"75","Hyaloperonospora floerkeae",22
"76","Peronospora corydalis-intermediae",22
"77","Plasmopara helianthi f. patens",21
"78","Paraperonospora artemisiae-biennis",20
"79","Peronospora sparsa",20
"80","Pseudoperonospora celtidis",20
"81","Peronospora chamaesycis",19
"82","Plasmopara cephalophora",19
"83","Peronospora plantaginis",18
"84","Peronospora saxifragae",18
"85","Plasmopara nivea",18
"86","Peronospora cynoglossi",17
"87","Peronospora antirrhini",16
"88","Peronospora euphorbiae-glyptospermae",15
"89","Peronospora polygoni-convolvuli",15
"90","Plasmopara acalyphae",15
"91","Peronospora hedeomatis",14
"92","Peronospora swinglei",14
"93","Hyaloperonospora cardamines-laciniatae",13
"94","Plasmopara destructor",13
"95","Peronospora schachtii",12
"96","Plasmopara affinis f. affinis",12
"97","Hyaloperonospora arabidis-oxyphyllae",11
"98","Hyaloperonospora nasturtii-aquatici",11
"99","Peronospora androsaces",10
"100","Peronospora seymourii",10
"101","Plasmopara helianthi f. perennis",9
"102","Hyaloperonospora cakiles",8
"103","Hyaloperonospora hesperidis",8
"104","Peronospora belbahrii",8
"105","Peronospora melampyri",8
"106","Plasmopara constantinescui",8
"107","Hyaloperonospora nasturtii-palustiris",7
"108","Peronosclerospora sorghi",7
"109","Peronospora calotheca var. galii-vaillantii",7
"110","Peronospora jacksonii",7
"111","Peronospora valerianellae",7
"112","Plasmopara gnaphalii",7
"113","Plasmopara gonolobi",7
"114","Plasmopara latifolii",7
"115","Peronospora monolepidis",6
"116","Plasmopara portoricensis",6
"117","Plasmoverna sp",6
"118","Sclerospora farlowii",6
"119","Peronospora capsici",5
"120","Peronospora dipsaci",5
"121","Peronospora rumicis",5
"122","Peronospora stigmaticola",5
"123","Plasmopara cercidis",5
"124","Hyaloperonospora camelinae",4
"125","Hyaloperonospora sisymbrii-officinalis",4
"126","Paraperonospora leptosperma",4
"127","Peronospora arborescens",4
"128","Plasmopara epilobii",4
"129","Hyaloperonospora arabidopsidis",3
"130","Peronospora davisii",3
"131","Peronospora lotorum",3
"132","Peronospora mesembryanthemi",3
"133","Peronospora monardae",3
"134","Plasmopara sp",3
"135","Plasmopara velutina",3
"136","Hyaloperonospora barbareae",2
"137","Hyaloperonospora daughtreyae",2
"138","Hyaloperonospora dentariae",2
"139","Hyaloperonospora iberidis",2
"140","Peronospora aestivalis f. lupulinae",2
"141","Peronospora cyparissiae",2
"142","Peronospora digitalidis",2
"143","Peronospora erigoni",2
"144","Peronospora ervi",2
"145","Peronospora giliae",2
"146","Peronospora hiemalis",2
"147","Peronospora jaapiana",2
"148","Peronospora lathyri-maritimi",2
"149","Peronospora muralis",2
"150","Peronospora radii",2
"151","Peronospora ranunculi",2
"152","Peronospora somniferi",2
"153","Peronospora valerianae",2
"154","Peronospora viciicola",2
"155","Plasmopara impatientis",2
"156","Sclerophthora gigaspora",2
"157","Basidiophora delawarensis",1
"158","Hyaloperonospora cheiranthi",1
"159","Hyaloperonospora cochleariae",1
"160","Hyaloperonospora erophilae",1
"161","Hyaloperonospora galligena",1
"162","Hyaloperonospora lobulariae",1
"163","Hyaloperonospora sisymbrii-sophiae",1
"164","Peronospora agrostemmatis",1
"165","Peronospora amaranthi",1
"166","Peronospora arthuri",1
"167","Peronospora choi",1
"168","Peronospora dianthi",1
"169","Peronospora dipsaci-silvestris",1
"170","Peronospora ducometii",1
"171","Peronospora fabae",1
"172","Peronospora fragariae",1
"173","Peronospora kuewa",1
"174","Peronospora lini",1
"175","Peronospora lithospermi",1
"176","Peronospora matthiolae",1
"177","Peronospora ranunculi-peduncularis",1
"178","Peronospora sepium",1
"179","Peronospora trigonellae",1
"180","Peronospora vexans",1
"181","Peronospora whippleae",1
"182","Plasmopara cissi",1
"183","Plasmopara lactucae-radicis",1
"184","Plasmopara myosotidis",1
"185","Plasmopara sphagneticolae",1
"186","Plasmopara vincetoxici",1
"187","Plasmoverna alpina",1
"188","Pseudoperonospora urticae",1
