"","recorded_by","n"
"1","J J Davis",969
"2","A B Seymour",404
"3","H C Greene",340
"4","C T Rogerson",273
"5","G P Clinton",241
"6","L H Pammel",221
"7","G F Weber",130
"8","M B Waite",128
"9","G H Boewe",123
"10","H S Jackson",115
"11","J M Bates",114
"12","A S Hitchcock",105
"13","W R Dudley",104
"14","E Bartholomew",102
"15","H H Whetzel",99
"16","C G Shaw",96
"17","W A Kellerman",92
"18","J F Brenckle",86
"19","J Dearness",80
"20","W Trelease",80
"21","F L Stevens",78
"22","P A Young",78
"23","W G Farlow",67
"24","B D Halsted",64
"25","F S Earle",64
"26","C L Shear",60
"27","L H Tiffany",58
"28","L M Underwood",54
"29","G M Reed",45
"30","E E Clayton",43
"31","G F Atkinson",42
"32","C A Hart",39
"33","W G Solheim",39
"34","K F Baker",38
"35","E W D Holway",36
"36","H W Anderson",36
"37","J H Miller",36
"38","W Jones",36
"39","R F Cain",34
"40","S M Tracy",34
"41","C R Orton",33
"42","J E Humphrey",33
"43","W A Archer",32
"44","A D Selby",31
"45","B T Galloway",31
"46","D R Sumstine",31
"47","D Griffiths",30
"48","E West",30
"49","L O Overholts",29
"50","R Sprague",29
"51","W T Swingle",29
"52","F C Stewart",28
"53","J L Sheldon",28
"54","B B Higgins",27
"55","D B O Savile",27
"56","E W D Howay",27
"57","W A Orton",27
"58","W G Solheim; R L Gilbertson",27
"59","H L Merrow",25
"60","W G Solheim; R Solheim",25
"61","E M Fischer",23
"62","A B Langlois",22
"63","R S Kirby",22
"64","V M Spalding",22
"65","E B Mains",21
"66","G W Wilson",21
"67","M A Carleton",21
"68","M F Barrus",21
"69","C L Hitchcock",20
"70","E E Honey",20
"71","O A Plunkett",20
"72","W W Ray",20
"73","C Chupp",19
"74","G W Carver",19
"75","L E Miles",19
"76","R L Gilbertson",19
"77","C L Hitchcock; C V Muhlick",18
"78","D G Fairchild",18
"79","E W Olive",18
"80","F L Scribner",18
"81","L B Walker",18
"82","G E Thompson",17
"83","Heald",17
"84","W A Kellerman; W T Swingle",17
"85","C G Shaw; Field Mycology Class",16
"86","J L Cunningham",16
"87","T A Williams",16
"88","Y Rivera",16
"89","C H Kauffman",15
"90","C O Peake",15
"91","F D Bailey",15
"92","G G Hedgcock",15
"93","I E Melhus",15
"94","J C Arthur",15
"95","S J Smith",15
"96","W G Solheim; R L Gilbertson; G B Cummins",15
"97","G W Martin",14
"98","P Spaulding",14
"99","R B Streets",14
"100","Reddick",14
"101","B C Tharp",13
"102","C E Bessey",13
"103","C G Shaw; W D Yerkes",13
"104","C L Lefebvre",13
"105","F A Wolf",13
"106","G D Darker",13
"107","H E Ahles",13
"108","J P Anderson",13
"109","L R Hesler",13
"110","R Thaxter",13
"111","A D McDonnell",12
"112","C A Schwarze",12
"113","C V Piper",12
"114","H P Barss",12
"115","J F Adams",12
"116","J J Davis; H C Greene",12
"117","L Dosdall",12
"118","M Daughtrey",12
"119","S M Pady",12
"120","T H Macbride",12
"121","A Commons",11
"122","A H Povah",11
"123","C A Ludwig",11
"124","C G Shaw; A C Goheen",11
"125","C H Demetrio",11
"126","D E Hoffmaster",11
"127","G H Godfrey",11
"128","G R Hoerner",11
"129","H W Johnson",11
"130","J M Grant",11
"131","P H Rolfs",11
"132","V H Young",11
"133","A G Newhall",10
"134","C F Baker",10
"135","C G Shaw; H C Greene",10
"136","C G Shaw; L Shinners",10
"137","D Reddick",10
"138","E T Bartholomew",10
"139","G L Zundel",10
"140","J A Parmelee; D B O Savile",10
"141","J A Stevenson",10
"142","J B S Norton",10
"143","M C Richards",10
"144","O F Burger",10
"145","P H Dorsett",10
"146","R J Haskell",10
"147","A S Rhoads",9
"148","C L Porter",9
"149","E A Walker",9
"150","E Bethel",9
"151","F E Clements; E S Clements",9
"152","G F Gravatt",9
"153","H C Gilbert",9
"154","J E Melhus",9
"155","J W T Duvel",9
"156","T H McBride",9
"157","A G Johnson",8
"158","C E Fairman",8
"159","C H Thompson",8
"160","E A Southworth",8
"161","E F Guba",8
"162","E T Bartholomew; E Bartholomew",8
"163","F W Anderson",8
"164","G B Cummins",8
"165","G Semeniuk",8
"166","H Schrenk",8
"167","J C Gilman",8
"168","J W Thompson",8
"169","L Campbell",8
"170","L K Jones",8
"171","L R Jones",8
"172","L R Tehon",8
"173","P L Ricker",8
"174","R B Hine",8
"175","W H Weston",8
"176","W L C Muenscher",8
"177","W W Gilbert",8
"178","A S Muller",7
"179","B F Dana",7
"180","B Fink",7
"181","C G Shaw; W Raymer",7
"182","C H Peck",7
"183","D V Layton",7
"184","E Durand",7
"185","F J Seaver",7
"186","H R Fulton",7
"187","I C Jagger",7
"188","J J Christensen",7
"189","L Constance",7
"190","W A McCubbin",7
"191","W H Aiken",7
"192","W L Doran",7
"193","W Murrill",7
"194","W T Swingle; M B Waite",7
"195","A A Heller; G E Heller",6
"196","A E Prince; C N Clayton",6
"197","A F Sherf",6
"198","A J Grout",6
"199","B Lowy",6
"200","C F Baker; F S Earle; S M Tracy",6
"201","C F Wheeler",6
"202","C G Shaw; R Sprague, W Yerkes",6
"203","C H Blazquez",6
"204","Class",6
"205","F Johnson",6
"206","F S Earle; L M Underwood",6
"207","G M Reed; Kunkel",6
"208","G Nyland",6
"209","G R Bisby",6
"210","H H Rampton",6
"211","J Christensen",6
"212","J M Holzinger",6
"213","J P Tracy",6
"214","L Bonar",6
"215","M B Thomas",6
"216","M Daughfrey; N Catlin",6
"217","P C Standley",6
"218","S A Beach",6
"219","W B Tisdale",6
"220","W H Long",6
"221","B J Sallans",5
"222","C E Chardon",5
"223","C F Taylor",5
"224","C G Shaw; R Sprague",5
"225","C L Kramer",5
"226","C M King",5
"227","D B O Savile; J A Parmelee",5
"228","E P Sheldon",5
"229","E W Mendenhall",5
"230","E W Olive; A H W Povah; L R Hesler",5
"231","F D Chester",5
"232","F M Clum",5
"233","F S Earle; M B Waite",5
"234","G E Templeton",5
"235","G L Stout",5
"236","G W Fischer",5
"237","H A Edson",5
"238","H E Thomas",5
"239","H Fitzpatrick",5
"240","H M Fitzpatrick",5
"241","H S Conard",5
"242","H S Jackson; R F Cain",5
"243","H S Jennings",5
"244","J B Ellis",5
"245","J M Reade",5
"246","J Van Hook",5
"247","P J Anderson",5
"248","R E B McKenny",5
"249","T W Graham",5
"250","W C Cusick",5
"251","W C Muenscher",5
"252","A Cronquist",4
"253","A J Sharp; L R Hesler",4
"254","A P D Piguet",4
"255","A P D Piquet",4
"256","A Sherf",4
"257","A V Osmun",4
"258","B Duggar",4
"259","B M Davis",4
"260","C B Bliss",4
"261","C G Shaw; Eats",4
"262","C G Shaw; R Sprague; W Yerkes",4
"263","C J Gregory",4
"264","C N Jensen",4
"265","D H Latham",4
"266","D H Linder",4
"267","E A Bessey",4
"268","E M Smiley",4
"269","F D Heald",4
"270","F L Scribner; Viala",4
"271","F M Rolfs",4
"272","G A Osner",4
"273","G F Meschutt",4
"274","G H Coons",4
"275","H E Parks",4
"276","H H Whetzel; W G Solheim",4
"277","H J Webber",4
"278","I H Crowell",4
"279","I L Connors",4
"280","J A Calder; D B O Savile",4
"281","J A Parmelee",4
"282","J B Demaree",4
"283","J C Nelson",4
"284","J D Menzies",4
"285","J F Brenckle; Stevens",4
"286","J G Dickson",4
"287","J M Van Hook",4
"288","K S Chester",4
"289","L White",4
"290","M Craig",4
"291","M W Gardner",4
"292","O C Boyd",4
"293","Plant Pathology Department",4
"294","R J Davis",4
"295","R W Stack",4
"296","S E Wolf",4
"297","S H Burnham",4
"298","W A Kuntz",4
"299","W B Cooke; V G Cooke",4
"300","W C Muenscher; C T Rogerson",4
"301","W G Solheim; W G Solheim II; R Solheim",4
"302","W J Davis",4
"303","W N Christopher",4
"304","W W Diehl",4
"305","W W Jones",4
"306","A B Seymour; F S Earle",3
"307","A C Foster",3
"308","A E Prince; C N Clayton; W C Barnes",3
"309","A J Sharp",3
