"","recorded_by","n"
"1","J J Davis",969
"2",NA,625
"3","A B Seymour",404
"4","H C Greene",340
"5","C T Rogerson",273
"6","G P Clinton",235
"7","L H Pammel",221
"8","G F Weber",130
"9","M B Waite",128
"10","G H Boewe",123
"11","J M Bates",114
"12","A S Hitchcock",105
"13","W R Dudley",104
"14","E Bartholomew",102
"15","H H Whetzel",99
"16","H S Jackson",99
"17","C G Shaw",95
"18","W A Kellerman",92
"19","J F Brenckle",86
"20","W Trelease",80
"21","P A Young",78
"22","F L Stevens",77
"23","W G Farlow",67
"24","B D Halsted",64
"25","F S Earle",64
"26","C L Shear",60
"27","L H Tiffany",58
"28","L M Underwood",54
"29","G M Reed",45
"30","E E Clayton",43
"31","G F Atkinson",42
"32","C A Hart",39
"33","K F Baker",38
"34","W G Solheim",38
"35","H W Anderson",36
"36","J H Miller",36
"37","E W D Holway",35
"38","S M Tracy",34
"39","C R Orton",33
"40","J E Humphrey",33
"41","W A Archer",32
"42","A D Selby",31
"43","B T Galloway",31
"44","D R Sumstine",31
"45","D Griffiths",30
"46","E West",30
"47","W T Swingle",29
"48","F C Stewart",28
"49","J L Sheldon",28
"50","L O Overholts",28
"51","R Sprague",28
"52","B B Higgins",27
"53","E W D Howay",27
"54","W A Orton",27
"55","W G Solheim; R L Gilbertson",26
"56","H L Merrow",25
"57","W G Solheim; R Solheim",25
"58","E M Fischer",23
"59","A B Langlois",22
"60","R S Kirby",22
"61","V M Spalding",22
"62","E B Mains",21
"63","G W Wilson",21
"64","M A Carleton",21
"65","C L Hitchcock",20
"66","E E Honey",20
"67","M F Barrus",20
"68","O A Plunkett",20
"69","W W Ray",20
"70","C Chupp",19
"71","G W Carver",19
"72","L E Miles",19
"73","R L Gilbertson",19
"74","C L Hitchcock; C V Muhlick",18
"75","D G Fairchild",18
"76","E W Olive",18
"77","F L Scribner",18
"78","L B Walker",18
"79","Heald",17
"80","W A Kellerman; W T Swingle",17
"81","C G Shaw; Field Mycology Class",16
"82","J L Cunningham",16
"83","T A Williams",16
"84","C H Kauffman",15
"85","C O Peake",15
