"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"5187","ILL","ILL00095863","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","2366",1881,8,1,1880,"Eupatorium purpureum","Asteraceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.49337,-89.079802,"WGS84",3036,NA
"5188","ILL","ILL00095904","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","4209",1882,4,20,1880,"Ambrosia trifida","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",37.626439,-89.497874,"WGS84",2430,NA
"5189","ILL","ILL00095865","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","4609",1882,5,11,1880,"Eupatorium purpureum","Asteraceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",37.325052,-88.938956,"WGS84",1412,NA
"5190","ILL","ILL00095900","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","4770",1882,5,25,1880,"Ambrosia trifida","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"5191","NCU","NCU-F-0018647","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","4772",1882,5,25,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,"WGS84",6559,NA
"5192","ILL","ILL00095860","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","4855",1882,5,31,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"5193","ILL","ILL00095902","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","4970",1882,6,10,1880,"Ambrosia trifida","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"5194","NCU","NCU-F-0018663","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","4980",1882,6,15,1880,"Ambrosia trifida","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",42.160858,-88.081465,"WGS84",4809,NA
"5195","NCU","NCU-F-0018648","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5269",1882,6,19,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,"WGS84",6559,NA
"5196","ILL","NCU-F-0018661","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5223",1882,6,19,1880,"Silphium terebinthinaceum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",41.4403115,-89.1046675,"WGS84",4769.5,NA
"5197","ILL","ILL00095877","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5241",1882,6,20,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",41.333368,-89.09175,"WGS84",6503,NA
"5198","BPI","BPI 187910","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5291",1882,6,23,1880,"Ambrosia trifida","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"5199","ILL","ILL00095899","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5291",1882,6,26,1880,"Ambrosia trifida","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.0578,-91.1353,"WGS84",1000,NA
"5200","BPI","BPI 188118","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5241",1882,6,26,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",41.322256,-88.850772,"WGS84",4769.5,NA
"5201","ILL","ILL00095922","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5475",1882,7,10,1880,"Ambrosia artemisiifolia","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.048507,-91.102302,"WGS84",1480,NA
"5202","ILL","NCU-F-0018680","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5454",1882,7,10,1880,"Erechtites hieracifolia","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.048507,-91.102302,"WGS84",1480,NA
"5203","ILL","ILL00095874","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5562",1882,7,15,1880,"Mulgedium sp","Asteraceae",NA,NA,NA,"North America","United States of America","Illinois",40.484203,-88.993687,"WGS84",8720,NA
"5204","BPI","BPI 796436","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","6707",1882,7,17,1880,"Erechtites hieracifolia","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.027806,-88.573399,"WGS84",2463.5,NA
"5205","BPI","BPI 187985","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5597",1882,7,17,1880,"Eupatorium purpureum","Asteraceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"5206","ILL","ILL00095862","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5597",1882,7,20,1880,"Eupatorium purpureum","Asteraceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",41.710833,-88.679722,"WGS84",500,NA
"5207","NCU","NCU-F-0018678","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5598",1882,7,20,1880,"Mulgedium","Asteraceae",NA,NA,NA,"North America","United States of America","Illinois",40.363611,-89.114444,"WGS84",5000,NA
"5208","ILL","ILL00095875","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5598",1882,7,20,1880,"Mulgedium sp","Asteraceae",NA,NA,NA,"North America","United States of America","Illinois",41.710833,-88.679722,"WGS84",500,NA
"5209","BPI","BPI 188103","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5795",1882,9,2,1880,"Silphium laciniatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",41.838921,-89.479548,"WGS84",5476,NA
"5210","ILL","ILL00095873","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5655",1882,9,6,1880,"Mulgedium sp","Asteraceae",NA,NA,NA,"North America","United States of America","Illinois",40.484203,-88.993687,"WGS84",8720,NA
"5211","ILL","ILL00095876","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5746",1882,9,9,1880,"Ambrosia artemisiifolia","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",41.838921,-89.479548,"WGS84",5476,NA
"5212","NCU","NCU-F-0018657","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5795",1882,9,12,1880,"Silphium laciniatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",41.838921,-89.479548,"WGS84",5476,NA
"5213","BPI","BPI 188119","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5966",1882,9,16,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",42.416674,-90.429017,"WGS84",3399,NA
"5214","ILL","ILL00095878","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","5966",1882,9,18,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",42.416674,-90.429017,"WGS84",3399,NA
"5215","ILL","ILL00095831","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","6038",1882,9,20,1880,"Erechtites hieracifolia","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",42.365711,-90.212415,"WGS84",14542,NA
"5216","NCU","NCU-F-0018649","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","6168",1882,9,25,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",42.014751,-89.332328,"WGS84",2189,NA
"5217","ILLS",NA,"PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","3353",1883,7,12,1880,"Rudbeckia triloba","Asteraceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",39.9356,-91.4097,NA,NA,NA
"5218","BPI","BPI 188124","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","6515",1884,7,10,1880,"Silphium perfoliatum","Asteraceae","wild","native","wild-native","North America","United States of America","Illinois",40.693649,-89.588986,"WGS84",13117,NA
"5219","NCU","NCU-F-0018686","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","s.n.",1884,7,24,1880,"Eupatorium purpureum","Asteraceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.124481,-87.630021,"WGS84",8536,NA
"5220","BPI","NCU-F-0018690","PreservedSpecimen","Plasmopara","halstedii","Plasmopara halstedii","A B Seymour","21921",1884,8,23,1880,"Rudbeckia laciniata","Asteraceae","cultivated","native","cultivated-native","North America","United States of America","North Dakota",46.875719125,-96.793064625,"WGS84",10179.875,NA
