"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"6104","BPI","BPI 785591","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Langlois",NA,NA,NA,NA,NA,"Vitis vinifera","Vitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Louisiana",30.714273,-91.933105,"WGS84",332459,NA
"6105","ILLS","NCU-F-0018891","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","3354",1880,8,9,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.1164133333333,-88.2433553333333,"WGS84",7338,NA
"6106","ILL","ILL00095988","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","4945",1882,6,10,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.189199,-88.20977,"WGS84",3036,NA
"6107","ILL","ILL00095995","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5281",1882,6,24,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.484203,-88.993687,"WGS84",8720,NA
"6108","NCU","NCU-F-0018880","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5345",1882,6,26,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",39.935602,-91.409873,"WGS84",5801,NA
"6109","ILL","NCU-F-0018879","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5301",1882,6,27,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.0516046666667,-91.1133013333333,"WGS84",1320,NA
"6110","ILL","NCU-F-0018881","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5330",1882,6,28,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",39.996701,-91.2725865,"WGS84",3400.5,NA
"6111","BPI","BPI 785435","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5376",1882,6,30,1880,"Vitis aestivalis","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",39.996701,-91.2725865,"WGS84",3400.5,NA
"6112","ILL","BPI 785471","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5377",1882,6,30,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.1692016666667,-90.5119346666667,"WGS84",4453.33333333333,NA
"6113","ILL","ILL00096001","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5376",1882,7,1,1880,"Vitis aestivalis","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.0578,-91.1353,"WGS84",1000,NA
"6114","NCU","NCU-F-0018882","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5377",1882,7,1,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",39.9183675,-91.218834,"WGS84",2018,NA
"6115","ILL","NCU-F-0018884","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5393",1882,7,3,1880,"Vitis aestivalis","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.048507,-91.102302,"WGS84",1480,NA
"6116","BPI","BPI 785470","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5460",1882,7,7,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.102812,-91.0691065,"WGS84",1264,NA
"6117","ILL","ILL00095983","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5458",1882,7,10,1880,"Vitis aestivalis","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.0578,-91.1353,"WGS84",1000,NA
"6118","NCU","NCU-F-0018883","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5460",1882,7,10,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.048507,-91.102302,"WGS84",1480,NA
"6119","ILL","ILL00096004","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5469",1882,7,10,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.0578,-91.1353,"WGS84",1000,NA
"6120","ILL","NCU-F-0018885","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5505",1882,7,11,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.048507,-91.102302,"WGS84",1480,NA
"6121","BPI","BPI 785474","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5540",1882,7,12,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.048507,-91.102302,"WGS84",1480,NA
"6122","ILL","ILL00095986","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5540",1882,7,14,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"6123","NCU","NCU-F-0018886","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5540",1882,7,17,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.514203,-88.990631,"WGS84",6559,NA
"6124","ILL","ILL00096029","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5584",1882,7,17,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"6125","NCU","NCU-F-0018887","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5596",1882,7,20,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",41.037241,-88.897125,"WGS84",1768,NA
"6126","BPI","BPI 785472","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5643",1882,8,9,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.514203,-88.990631,NA,6559,NA
"6127","ILL","NCU-F-0018888","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5658",1882,9,6,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.484203,-88.993687,"WGS84",8720,NA
"6128","ILL","BPI 785482","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","5839",1882,9,13,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",42.31504,-89.634934,"WGS84",3931.33333333333,NA
"6129","ILL","ILL00096005","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","6033",1882,9,20,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",42.4121423333333,-90.174522,"WGS84",10108.3333333333,NA
"6130","ILL","BPI 785434","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","6140",1882,9,23,1880,"Vitis aestivalis","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",42.014751,-89.332328,"WGS84",2189,NA
"6131","NCU","NCU-F-0018889","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s. n.",1883,8,20,1880,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Massachusetts",42.286202,-72.616201,"WGS84",3036,NA
"6132","BPI","ILL00095978","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s.n.",1883,8,20,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.26799375,-72.485934625,"WGS84",2143.5,NA
"6133","NY","2759672","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","71",1885,7,18,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Delaware",39.746688,-75.633596,"WGS84",1497,NA
"6134","MSC","MSC0218404","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour",NA,1885,9,28,1880,"Ampelopsis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Wisconsin",43.073052,-89.40123,"WGS84",16732,NA
"6135","ILL","ILL00095982","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","6857",1886,8,7,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6136","NY","2759670","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s.n.",1888,8,9,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.116683,-88.258489,"WGS84",6188,NA
"6137","NEB","FLAS-F-60711","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s.n.",1888,9,1,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.0689283333333,-72.8658202,"WGS84",4858,NA
"6138","ARIZ","ARIZ-M-AN00357","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s.n.",1890,8,1,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.291762,-71.425894,"WGS84",7426,NA
"6139","BPI","BPI 785528","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s.n.",1892,7,9,1890,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Massachusetts",42.4466646,-71.1078232,"WGS84",2572.75,NA
"6140","BPI","336506","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s.n.",1892,7,30,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.4603588571429,-71.3490182857143,"WGS84",4269.66666666667,NA
"6141","FLAS","FLAS-F-00919","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour",NA,1892,8,16,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.291762,-71.425894,"WGS84",7426,NA
"6142","BPI","BPI 785504","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour",NA,1900,9,10,1900,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Massachusetts",42.362595,-71.361448,NA,3036,NA
"6143","FLAS","FLAS-F-23366","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour","s.n.",1903,9,8,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New Hampshire",43.1219264285714,-72.2766328571429,"WGS84",3542,NA
"6144","BPI","BPI 785380","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A B Seymour; Harper",NA,1892,7,30,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.460372,-71.348948,NA,3036,NA
"6145","WIS","WIS-F-0032540","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A C Burrill","s.n.",1913,7,26,1910,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Wisconsin",44.294683,-90.851531,NA,2533,NA
"6146","PH","PH00300617","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A Commons","s.n.",1884,10,3,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Delaware",39.4146945,-75.5929815,"WGS84",43468,NA
"6147","PH","PH00300618","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A Commons","s.n.",1885,6,10,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Delaware",39.705893,-75.6056295,"WGS84",1327,NA
"6148","BPI","BPI 842016","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A Commons","71",1885,6,14,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Delaware",39.7475903333333,-75.6354753333333,"WGS84",3036,NA
"6149","NCU","NCU-F-0018900","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","A Commons","s.n.",1885,7,18,1880,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Delaware",39.747612,-75.635484,"WGS84",3036,NA
