"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"7357","ILL","ILL00096062","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A B Seymour","s.n.",1916,9,NA,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.248967,-71.5338515,"WGS84",78689.5,NA
"7358","BPI","BPI 785669","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D McDonnell",NA,1931,9,23,1930,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Connecticut",41.430375,-72.887046,NA,1807,NA
"7359","CHRB","CHRB-F-0016016","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby","s.n.",1897,8,28,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.987,-81.893751,NA,3159,NA
"7360","BPI","BPI 785870","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby",NA,1897,8,28,1890,"Cucumis sp","Cucurbitaceae",NA,NA,NA,"North America","United States of America","Ohio",40.987,-81.893751,NA,3159,NA
"7361","CINC","CINC-F-0000436","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby","s.n.",1898,8,18,1890,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.14118,-82.009858,"WGS84",3036,NA
"7362","WSP","WSP20383","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby",NA,1898,9,2,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.3933,-82.4858,NA,NA,NA
"7363","BPI","WSP38066","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby","s.n.",1898,9,3,1890,"Cayaponia laciniosa","Cucurbitaceae","wild","non-native","wild-non-native","North America","United States of America","Ohio",40.805,-81.9353,NA,NA,NA
"7364","BPI","BPI 785863","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby","s.n.",1898,9,3,1890,"Coccinia grandis","Cucurbitaceae","wild","non-native","wild-non-native","North America","United States of America","Ohio",40.805028,-81.9352215,NA,8035,NA
"7365","BPI","FLAS-F-22804","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby","s.n.",1898,9,10,1890,"Echinocystis lobata","Cucurbitaceae","cultivated","native","cultivated-native","North America","United States of America","Ohio",40.8050497777778,-81.9351985555556,"WGS84",7870.5,NA
"7366","WSP","WSP38067","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby",NA,1898,9,NA,1890,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.805,-81.9353,NA,NA,NA
"7367","WIS","WIS-F-0031885","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby","s.n.",1898,9,NA,1890,"Echinocystis lobata","Cucurbitaceae","cultivated","native","cultivated-native","North America","United States of America","Ohio",40.805056,-81.935486,NA,6719,NA
"7368","NEB","NEB00064749","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby",NA,1899,9,9,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.805056,-81.935143,"WGS84",8035,NA
"7369","WIS","WIS-F-0031886","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby","s.n.",1899,9,15,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.805056,-81.9353145,NA,7377,NA
"7370","BPI","BPI 785890","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby",NA,1901,9,26,1900,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",41.827554,-80.871757,NA,3036,NA
"7371","BPI","BPI 785759","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby; J W T Duvel",NA,1899,9,15,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.805056,-81.935143,"WGS84",8035,NA
"7372","CINC","CINC-F-0000437","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A D Selby; J W T Duvel","s.n.",1899,10,15,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Ohio",40.805056,-81.935143,"WGS84",8035,NA
"7373","WIS","WIS-F-0031880","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A P D Piguet","s.n.",1910,9,1,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.12371,-71.178663,"WGS84",3723,NA
"7374","FLAS","WIS-F-0031881","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A P D Piguet","s. n.",1910,9,NA,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.1228546,-71.208049,"WGS84",3347.75,NA
"7375","FLAS","FLAS-F-23607","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A P D Piquet",NA,1910,9,1,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.123688,-71.1787704,"WGS84",3316,NA
"7376","BPI","BPI 785806","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A P D Piquet","s.n.",1910,9,NA,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.12371,-71.178663,"WGS84",3316,NA
"7377","BPI","BPI 785793","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A S Mills; C G Anderson",NA,1931,1,5,1930,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Puerto Rico",18.392737,-66.041436,NA,3775,NA
