"","Basidiophora delawarensis","Basidiophora entospora","Basidiophora simplex","Benua kellermanii","Bremia lactucae","Hyaloperonospora arabidis-oxyphyllae","Hyaloperonospora arabidopsidis","Hyaloperonospora barbareae","Hyaloperonospora brassicae","Hyaloperonospora cakiles","Hyaloperonospora camelinae","Hyaloperonospora cardamines-laciniatae","Hyaloperonospora cheiranthi","Hyaloperonospora cochleariae","Hyaloperonospora daughtreyae","Hyaloperonospora dentariae","Hyaloperonospora erophilae","Hyaloperonospora floerkeae","Hyaloperonospora galligena","Hyaloperonospora hesperidis","Hyaloperonospora iberidis","Hyaloperonospora lobulariae","Hyaloperonospora nasturtii-aquatici","Hyaloperonospora nasturtii-palustiris","Hyaloperonospora parasitica","Hyaloperonospora sisymbrii-intermedii","Hyaloperonospora sisymbrii-officinalis","Hyaloperonospora sisymbrii-sophiae","Hyaloperonospora sp","Paraperonospora artemisiae-biennis","Paraperonospora leptosperma","Paraperonospora sulphurea","Peronosclerospora sorghi","Peronospora aestivalis","Peronospora aestivalis f. lupulinae","Peronospora agrimoniae","Peronospora agrostemmatis","Peronospora alsinearum","Peronospora alta","Peronospora amaranthi","Peronospora americana","Peronospora androsaces","Peronospora antirrhini","Peronospora aparines","Peronospora arborescens","Peronospora arthuri","Peronospora arthurii","Peronospora astragali","Peronospora belbahrii","Peronospora borealis","Peronospora calotheca","Peronospora calotheca var. galii-vaillantii","Peronospora canadensis","Peronospora capsici","Peronospora chamaesycis","Peronospora chenopodii","Peronospora choi","Peronospora claytoniae","Peronospora corydalis","Peronospora corydalis-intermediae","Peronospora cynoglossi","Peronospora cyparissiae","Peronospora davisii","Peronospora destructor","Peronospora dianthi","Peronospora dicentrae","Peronospora digitalidis","Peronospora dipsaci","Peronospora dipsaci-silvestris","Peronospora ducometii","Peronospora echinospermi","Peronospora effusa","Peronospora erigoni","Peronospora ervi","Peronospora euphorbiae","Peronospora euphorbiae-glyptospermae","Peronospora fabae","Peronospora ficariae","Peronospora fragariae","Peronospora gei","Peronospora giliae","Peronospora grisea","Peronospora hedeomatis","Peronospora hiemalis","Peronospora hydrophylli","Peronospora jaapiana","Peronospora jacksonii","Peronospora kuewa","Peronospora lamii","Peronospora lathyri-maritimi","Peronospora lini","Peronospora lithospermi","Peronospora lophanthi","Peronospora lotorum","Peronospora manshurica","Peronospora matthiolae","Peronospora melampyri","Peronospora mesembryanthemi","Peronospora monardae","Peronospora monolepidis","Peronospora muralis","Peronospora myosotidis","Peronospora narbonensis","Peronospora nemophilae","Peronospora obovata","Peronospora oxybaphi","Peronospora phlogina","Peronospora pisi","Peronospora plantaginis","Peronospora polygoni","Peronospora polygoni-convolvuli","Peronospora potentillae","Peronospora radii","Peronospora ranunculi","Peronospora ranunculi-peduncularis","Peronospora rubi","Peronospora rumicis","Peronospora saxifragae","Peronospora schachtii","Peronospora sepium","Peronospora seymourii","Peronospora silenes","Peronospora somniferi","Peronospora sordida","Peronospora sp","Peronospora sparsa","Peronospora stigmaticola","Peronospora swinglei","Peronospora tabacina","Peronospora trigonellae","Peronospora valerianae","Peronospora valerianellae","Peronospora variabilis","Peronospora vexans","Peronospora viciae","Peronospora viciicola","Peronospora violae","Peronospora whippleae","Plasmopara acalyphae","Plasmopara affinis f. affinis","Plasmopara affinis f. silphii","Plasmopara angustiterminalis f. ambrosiae","Plasmopara angustiterminalis f. bidentis","Plasmopara australis","Plasmopara cephalophora","Plasmopara cercidis","Plasmopara cissi","Plasmopara constantinescui","Plasmopara destructor","Plasmopara epilobii","Plasmopara geranii","Plasmopara gnaphalii","Plasmopara gonolobi","Plasmopara halstedii","Plasmopara helianthi","Plasmopara helianthi f. helianthi","Plasmopara helianthi f. patens","Plasmopara helianthi f. perennis","Plasmopara illinoensis","Plasmopara impatientis","Plasmopara lactucae-radicis","Plasmopara latifolii","Plasmopara megasperma","Plasmopara muralis","Plasmopara myosotidis","Plasmopara nivea","Plasmopara obducens","Plasmopara portoricensis","Plasmopara ribicola","Plasmopara sp","Plasmopara sphagneticolae","Plasmopara velutina","Plasmopara viburni","Plasmopara vincetoxici","Plasmopara viticola","Plasmopara wilsonii","Plasmoverna alpina","Plasmoverna fusca","Plasmoverna pygmaea","Plasmoverna sp","Pseudoperonospora celtidis","Pseudoperonospora cubensis","Pseudoperonospora humuli","Pseudoperonospora urticae","Sclerophthora gigaspora","Sclerophthora macrospora","Sclerospora farlowii","Sclerospora graminicola"
"Alabama",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,5,1,1,7,0,0,0,0,0,2,0,0,0,0,0,0
"Alaska",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Arizona",0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,32,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0
"Arkansas",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0
"California",0,1,0,0,11,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,11,0,1,5,0,14,0,0,0,9,5,0,0,0,6,2,1,0,6,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,4,1,3,0,5,0,0,1,2,0,0,0,0,0,0,0,6,1,6,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,5,8,2,2,1,0,3,0,0,0,0,0,3,5,0,5,0,0,0,2,1,15,2,0,1,11,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,2,0,0,1,0,0,0,3,0,0
"Colorado",0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,12,0,0,0,0,10,0,0,0,9,1,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connecticut",0,1,0,0,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,3,0,0,0,0,9,0,0,0,0,1,0,0,15,0,0,0,1,0,1,0,0,13,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,21,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,11,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,51,3,0,0,6,0,0,27,1,0,0,0,0,0
"Delaware",1,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3,0,0,0,0,0,8,0,0,0,3,0,0
"Florida",0,9,0,0,35,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,16,0,0,0,0,1,60,0,0,0,2,0,18
"Georgia",0,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,12,0,0,0,0,0,4,0,0,0,2,0,0
