"","x"
"1955 Field Mycology Class; C G Shaw",1
"A A",1
"A A Beetle",1
"A A Chestek; F C Stewart",1
"A A Crozier",1
"A A Dunlap",1
"A A Heller",1
"A A Heller; G E Heller",2
"A A Hughart",2
"A B Langlois",11
"A B Seymour",53
"A B Seymour; A C Seymour",2
"A B Seymour; F S Earle",3
"A B Seymour; Harper",1
"A Bauer",1
"A Berg",1
"A C Burrill",2
"A C Foster",3
"A C Goheen",1
"A C Goheen; C G Shaw",1
"A C Lewis",1
"A Chestek",1
"A Commons",5
"A Cronquist",3
"A Curtis",1
"A D E Elmer",2
"A D Hopkins",1
"A D McConnell",1
"A D McDonnell",8
"A D Selby",9
"A D Selby; J W T Duvel",1
"A E  Edgecombe",1
"A E  Jenkins",2
"A E  Jenkins; W W Diehl",1
"A E Brandeis",1
"A E Jenkins",1
"A E Liberta",1
"A E Prince; C N Clayton",3
"A E Prince; C N Clayton; W C Barnes",3
"A E Prince; E E Clayton; T W Graham",1
"A F Kulin",2
"A F Millender",1
"A F Sherf",1
"A F Woods",1
"A Frank",1
"A G Johnson",3
"A G Newhall",2
"A G Tolaas",1
"A Gattinger",1
"A H Dorsett",1
"A H Eddins",1
"A H Povah",8
"A H Smith",1
"A Hartmann",1
"A J C Seymour",1
"A J Conkling",1
"A J Grout",4
"A J McClatchie",1
"A J Norman",1
"A J Palmateer",1
"A J Pieters",1
"A J Rider",1
"A J Sharp",1
"A J Sharp; L R Hesler",3
"A J Ullstrup",1
"A J Watson",1
"A Kawabata; R Hamasaki",1
"A Kempton",1
"A L Bakke",1
"A L Post",1
"A L Testen",1
"A Ludwig",1
"A M Alexander; L Kellogg",1
"A Nelson",1
"A Nelson; E Nelson",2
"A O Garrett",1
"A P D Piguet",3
"A P D Piquet",3
"A P White",1
"A Phillips",1
"A Plunkett",1
"A R Bechtel",1
"A Rich; S B Locke; G Nyland",1
"A S Hitchcock",37
"A S Mills; C G Anderson",1
"A S Muller",7
"A S Rhoads",4
"A Sampsi",1
"A Schultze",1
"A Schumacher",1
"A Self",1
"A Sherf",2
"A T Bell",1
"A V Collins",1
"A V Osmun",3
"A W Edson",1
"A W Northrop",1
"A W Pearson",1
"A Walter-Fromson",1
"A Windham",2
"A Z Smith",2
"A. B. S.; R. W. S.; E K S.",1
"Adams",1
"Amidei",1
"Athow; Cummins",1
"Auberry",1
"B A Bourne",1
"B B Higgins",17
"B B Kanouse",2
"B B Strovo",1
"B Bartholomew",1
"B Brown",1
"B C Taylor",2
"B C Tharp",8
"B Cetas",1
"B D Halsted",26
"B D Halsted; W G Farlow",1
"B Duggar",4
"B E Montgomery",1
"B E Montgomory",1
"B F Bush",1
"B F Dana",5
"B Fink",7
"B Grimes",1
"B H Rolfs",1
"B Hunter",1
"B J",1
"B Lowy",2
"B M Davis",4
"B M Duggar",2
"B M Everhart",1
"B Maguire",1
"B Maguire; A H Holmgren",1
"B Maguire; B L Richards; T Moeller",1
"B O Dodge",2
"B Perez",1
"B Shimick",1
"B T Galloway",16
"B T Galloway; P H Dorsett",1
"B T Galloway; Southworth",1
"Backus; Greene; Shaw",2
"Bailey",1
"Baker",1
"Bartholomew",2
"Bartholomew; Bates",1
"Bartholomew; Bethel",2
"Bartholomew; Holway",1
"Barton",1
